;;;Kia mean maximum Temperature (øc );;;;;;;;;
Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1973;31.8;32.3;33.8;30.3;27.0;25.2;26.1;27.1;29.4;31.3;32.9;32.6
1974;31.9;34.1;31.7;28.6;27.9;25.5;25.3;27.3;28.4;31.1;32.2;33.5
1975;33.3;34.8;33.2;30.5;28.0;26.0;26.2;26.3;28.1;30.1;32.7;32.5
1976;33.2;32.5;32.7;29.7;27.1;26.4;26.3;27.2;29.1;31.1;32.2;32.6
1977;32.5;32.7;31.6;29.0;28.1;27.3;26.8;27.0;30.0;32.0;30.9;31.7
1978;31.8;31.3;30.1;28.0;26.3;25.1;25.3;26.5;29.6;31.4;31.2;29.8
1979;31.0;31.0;32.0;28.6;25.6;23.9;24.6;25.9;28.2;31.1;32.6;32.2
1980;33.4;33.1;32.5;30.3;27.6;26.3;26.0;26.2;29.5;31.6;31.0;31.3
1981;33.2;34.2;32.9;28.6;26.0;25.5;12.4;26.8;29.1;30.5;32.0;31.9
1982;34.3;35.1;34.7;29.2;26.2;26.0;25.5;26.2;28.5;29.8;29.8;30.3
1983;32.8;33.8;33.6;31.8;28.7;26.7;27.1;28.0;29.9;31.3;32.8;31.8
1984;32.8;34.3;33.9;30.7;27.5;26.4;25.2;25.7;29.8;31.1;32.9;31.6
1985;33.4;31.5;32.8;29.3;26.3;25.3;26.0;26.8;29.5;30.3;30.8;31.1
1986;30.6;33.6;33.3;29.5;26.2;24.8;25.1;27.4;29.1;32.0;31.5;30.7
1987;32.0;33.7;33.5;31.3;27.6;26.0;26.5;26.9;29.7;32.1;32.4;34.6
1988;34.0;34.6;32.8;28.5;27.2;26.2;26.8;27.2;28.8;32.1;32.1;32.2
1989;30.4;33.0;33.0;28.9;26.3;25.4;25.1;25.7;28.6;31.1;31.9;31.8
1990;31.4;33.0;29.1;28.0;26.9;26.5;26.0;25.8;29.2;31.1;32.0;31.6
1991;34.0;34.9;33.9;31.0;27.2;26.1;25.8;26.7;29.2;32.3;32.6;31.2
1992;33.4;33.7;34.0;29.6;26.7;25.1;25.0;26.0;28.8;31.0;31.6;31.2
1993;30.0;31.0;32.7;31.7;29.4;26.6;26.0;26.9;29.3;30.7;33.0;33.1
1994;34.3;33.6;31.9;29.5;26.6;26.3;26.1;26.9;29.7;32.0;31.5;31.2
1995;33.5;33.2;32.1;29.7;26.5;25.3;25.5;27.9;29.3;30.9;32.1;32.9
1996;33.0;32.4;32.6;28.4;26.8;25.4;25.7;26.9;29.5;30.7;32.9;34.0
1997;34.7;35.7;33.8;28.9;26.1;25.1;24.9;26.9;29.2;30.0;29.9;29.0
1998;29.8;31.3;32.0;29.5;26.9;25.9;24.9;27.0;29.0;31.3;32.1;33.8
1999;33.7;35.1;32.2;27.9;26.5;25.1;25.0;25.8;29.2;31.0;31.7;32.1
2000;34.6;35.9;32.8;30.1;27.6;26.6;26.1;27.0;28.9;31.7;31.7;31.4
2001;29.8;31.7;31.9;29.0;27.7;26.2;25.5;27.4;29.5;31.2;31.8;32.5
2002;32.1;32.7;30.9;29.2;27.8;27.1;28.0;26.8;29.5;30.9;30.9;31.0
2003;32.9;35.4;34.5;31.7;27.4;26.2;25.7;27.0;29.8;31.6;33.1;33.8
2004;32.9;31.7;31.5;29.4;28.5;26.7;27.4;27.7;30.1;31.5;32.2;33.2
2005;33.2;34.8;33.3;30.1;28.6;26.6;25.8;27.1;29.4;31.3;32.9;34.4
2006;33.9;34.8;30.9;28.3;27.6;27.0;26.1;28.7;29.4;30.5;30.4;30.2
2007;32.1;34.2;33.4;31.1;28.0;27.1;27.3;28.1;30.2;31.9;33.1;33.0
2008;33.7;33.0;31.7;28.6;26.6;25.1;25.0;27.2;30.2;32.5;32.4;33.7
2009;34.4;34.0;34.9;31.9;29.3;28.5;27.5;27.4;30.3;31.3;32.1;31.6
2010;31.9;33.8;33.2;29.3;27.6;26.2;26.7;27.5;29.2;32.2;32.9;32.6
