;;;;Moshi mean minimum Temperature (øc );;;;;;;;
Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1973;18.1;18.7;19.3;20.7;19.0;17.5;15.3;16.4;16.4;17.9;18.0;17.6
1974;17.1;17.5;18.8;19.2;18.2;17.3;16.2;15.2;15.6;15.1;17.3;17.1
1975;17.2;17.4;19.5;19.3;18.6;17.8;16.6;16.4;17.0;16.9;17.5;18.1
1976;17.2;18.4;18.9;19.3;19.0;17.1;15.5;15.9;16.7;17.3;18.4;17.9
1977;19.2;18.4;19.7;19.6;19.2;17.5;16.9;16.0;16.0;17.4;18.4;18.7
1978;17.6;17.8;19.1;19.5;17.8;17.4;16.0;16.1;16.1;17.8;18.7;18.4
1979;18.2;18.5;18.5;19.4;18.8;16.7;16.1;16.1;16.1;17.6;18.2;18.6
1980;18.2;18.4;19.0;19.9;18.6;17.1;17.0;16.2;16.5;17.0;18.6;18.1
1981;17.7;18.4;19.3;19.5;18.2;16.3;15.6;16.2;16.4;17.3;17.5;18.3
1982;17.6;18.4;19.0;19.5;18.5;17.7;16.9;16.4;17.3;18.0;18.6;18.1
1983;17.7;18.6;20.4;20.6;19.4;18.1;17.4;16.7;16.8;17.2;17.9;18.4
1984;18.4;18.2;19.4;20.2;18.7;17.2;16.6;16.5;15.5;18.0;18.6;18.0
1985;17.9;19.4;18.5;19.3;18.4;16.9;16.2;16.3;16.6;17.1;18.3;18.5
1986;18.2;17.3;19.3;19.5;18.7;16.4;15.4;14.9;15.6;17.6;19.2;18.5
1987;17.6;18.0;19.3;19.8;19.1;17.4;16.1;16.2;17.2;18.1;19.2;18.8
1988;19.9;19.4;19.6;19.6;18.5;17.2;16.1;16.6;16.5;17.8;18.7;18.5
1989;18.4;17.4;18.9;18.6;18.3;16.6;16.5;15.9;17.0;17.7;18.6;19.0
1990;17.0;18.8;18.7;18.7;18.4;16.4;15.1;16.0;16.4;17.4;17.7;17.3
1991;17.4;16.9;18.2;18.9;18.2;16.2;16.1;15.2;15.2;17.1;17.7;18.2
1992;17.0;18.5;18.6;19.2;18.0;16.8;15.8;14.8;15.5;16.5;18.1;18.0
1993;17.9;16.9;17.8;19.2;18.7;17.3;15.9;15.8;15.4;17.5;18.7;19.0
1994;18.7;19.1;19.6;19.2;18.1;17.3;16.3;17.0;17.5;19.1;19.2;19.0
1995;18.6;19.2;19.8;19.9;18.9;17.2;16.6;16.6;16.5;18.4;18.6;18.2
1996;18.7;19.6;20.5;19.4;18.7;17.7;16.3;15.9;17.1;17.2;19.0;18.3
1997;18.7;18.8;19.6;19.6;18.3;17.8;17.0;16.6;17.3;18.2;18.9;19.5
1998;19.6;19.3;19.9;20.3;19.1;17.9;16.4;17.3;17.3;16.8;18.3;17.7
1999;19.0;18.8;20.0;19.4;18.4;17.3;16.9;17.1;16.8;17.4;19.2;18.7
2000;17.7;18.5;20.2;20.0;18.5;17.7;16.8;16.8;16.4;17.5;19.2;20.0
2001;19.2;19.1;19.9;19.8;19.2;17.7;16.5;16.0;16.4;17.6;18.7;18.8
2002;19.4;19.0;19.6;19.3;18.4;17.1;15.9;16.2;16.3;17.6;18.3;18.3
2003;17.0;17.8;18.7;19.6;18.7;17.1;15.6;14.7;17.0;17.8;18.4;18.0
2004;18.5;18.6;19.3;19.0;18.2;15.9;14.5;14.9;16.3;17.2;17.9;18.4
2005;17.4;17.4;18.4;18.5;17.8;16.4;15.1;14.8;16.6;18.6;19.8;17.4
2006;19.7;20.4;20.6;20.3;19.1;18.2;17.8;17.3;17.9;18.8;19.9;19.9
2007;19.2;19.3;20.2;20.9;19.7;17.9;18.0;17.8;18.1;19.5;19.5;19.6
2008;19.3;19.3;20.1;20.0;19.1;17.7;16.9;17.4;17.5;19.5;19.3;19.5
2009;19.6;20.2;20.7;20.7;20.2;18.7;17.0;17.4;17.6;19.4;19.8;19.8
2010;19.4;20.9;21.0;21.0;20.0;19.3;18.2;17.9;16.4;19.1;20.1;18.8
