;;;;Moshi mean maximum Temperature (øc );;;;;;;;
Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1973;31.1;32.5;30.9;30.3;26.4;24.9;25.6;26.8;28.9;31.1;31.3;32.3
1974;32.8;34.0;32.1;28.0;27.4;25.0;24.7;26.4;27.5;30.5;31.6;32.4
1975;32.7;33.9;32.2;29.1;27.2;25.5;25.2;25.6;27.2;29.7;32.5;32.4
1976;33.3;32.5;32.2;29.5;26.5;25.7;25.7;26.6;28.7;31.4;32.0;32.2
1977;32.3;32.5;31.2;28.6;27.7;26.4;26.1;26.2;29.1;31.0;30.2;31.4
1978;31.5;31.7;29.9;27.6;26.1;25.0;24.9;26.3;29.3;31.3;30.5;29.4
1979;31.0;30.2;31.6;28.3;25.9;24.1;24.5;25.7;27.7;31.0;32.3;32.0
1980;33.6;33.0;32.8;30.0;27.1;25.8;25.5;25.7;28.9;31.4;30.6;31.3
1981;33.2;34.3;32.1;28.0;25.9;25.6;24.6;26.4;28.4;30.3;31.7;30.8
1982;33.7;34.8;34.0;29.4;26.2;25.9;25.1;25.6;27.8;29.7;30.5;30.4
1983;32.4;33.8;33.9;31.1;27.7;26.3;26.5;27.0;28.6;30.9;32.7;31.1
1984;32.6;34.1;33.7;29.9;27.1;25.4;24.4;24.9;28.6;30.6;29.9;30.7
1985;33.0;30.9;32.6;28.9;26.0;25.3;25.6;26.3;29.1;30.0;30.1;30.3
1986;30.6;34.1;32.0;29.5;26.2;25.2;25.0;27.0;28.6;31.3;31.0;29.8
1987;31.8;33.8;34.0;31.0;27.4;26.1;26.3;25.8;29.2;32.1;32.6;34.4
1988;33.2;34.5;32.7;28.3;27.2;26.2;26.2;26.8;28.2;31.7;31.5;31.4
1989;29.5;32.7;32.3;28.2;26.3;25.4;25.2;25.2;28.0;30.6;31.7;31.7
1990;31.0;32.9;29.0;27.9;27.0;26.5;25.7;25.5;28.7;30.5;30.9;30.1
1991;33.1;33.6;33.6;30.0;26.8;25.7;25.6;26.3;28.3;31.6;32.0;30.8
1992;32.7;34.0;34.1;29.7;26.6;25.7;25.1;25.8;28.2;30.4;31.4;30.4
1993;29.8;30.8;31.9;31.6;29.4;26.4;25.9;26.6;29.1;30.6;33.1;32.1
1994;33.8;33.4;31.6;30.0;27.1;26.2;25.5;27.1;29.3;31.6;31.0;30.3
1995;33.5;33.4;31.9;29.5;26.9;25.6;25.4;27.5;29.1;30.9;31.7;32.7
1996;33.3;32.5;32.8;28.5;26.8;25.5;25.6;26.5;29.0;30.4;31.8;34.3
1997;34.7;35.7;33.4;29.0;26.1;25.5;25.4;27.3;29.6;29.1;28.9;28.8
1998;29.2;30.8;31.4;29.3;26.9;26.1;25.0;26.8;28.9;30.6;31.7;33.2
1999;33.2;34.7;31.7;27.7;27.0;25.2;24.8;25.6;28.6;29.9;31.1;31.1
2000;34.1;35.3;31.7;29.2;26.8;26.2;25.8;26.8;28.7;31.4;32.1;32.2
2001;30.4;32.1;32.4;28.8;27.6;25.7;25.0;26.7;28.5;30.8;30.7;33.0
2002;32.3;33.1;30.5;28.8;28.0;26.7;27.4;26.2;28.2;29.6;31.1;30.8
2003;32.8;34.2;34.4;30.6;27.1;26.8;25.6;26.6;29.4;31.5;33.0;33.8
2004;31.9;31.8;32.2;29.1;28.1;26.3;26.9;27.5;29.7;30.5;32.0;32.7
2005;33.5;34.7;33.5;30.4;28.9;26.5;25.7;26.9;29.7;31.1;32.4;34.4
2006;34.0;34.7;31.1;28.4;27.2;26.8;25.7;27.9;28.6;29.4;28.6;30.0
2007;32.1;33.9;33.3;31.5;27.7;26.8;27.1;27.4;29.5;31.6;32.4;32.5
2008;33.0;32.5;31.3;28.5;27.1;25.2;25.3;26.8;29.6;32.0;32.4;33.7
2009;34.4;33.6;34.5;31.1;28.8;27.5;26.5;26.8;31.0;30.6;32.0;31.4
2010;32.2;33.7;33.5;29.6;28.1;26.7;27.7;28.2;28.7;31.9;27.0;32.0
